"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042110","T cell activation","86/449","464/18670",1.34135798902909e-51,4.94290418957221e-48,3.94359248774554e-48,"PIK3CD/PLA2G2D/RUNX3/LCK/IL23R/PTPN22/CD2/TNFAIP8L2/SLAMF6/PTPRC/LAX1/CR1/CD8B/ZAP70/CASP8/CD28/CTLA4/ICOS/PDCD1/FANCD2/EOMES/CCR9/CCR2/BTLA/TIGIT/CD86/RHOH/IL7R/CAMK4/TCF7/ITK/DOCK2/IRF4/RIPOR2/HLA-DOA/TREML2/THEMIS/MYB/CCR6/CARD11/DOCK8/CCL19/SIT1/TNFSF8/FUT7/APBB1IP/CD6/CD5/CCDC88B/JAML/CD3E/CD3D/CD3G/CD27/LAG3/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/LCP1/GPR18/BATF/BCL11B/RASGRP1/NLRC3/CORO1A/ITGAL/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/SLA2/AIRE/RAC2/GRAP2/WAS/FOXP3/SASH3/CD40LG",86
"BP","GO:0030098","lymphocyte differentiation","71/449","353/18670",5.72035179875695e-45,1.05397481892097e-41,8.40891714417272e-42,"PIK3CD/PLA2G2D/RUNX3/LCK/IL23R/PTPN22/CD2/FCRL3/SLAMF6/PTPRC/CR2/CR1/ZAP70/ITGA4/CD28/CTLA4/DOCK10/INPP5D/FANCD2/EOMES/CCR9/CCR2/CD86/RHOH/IL7R/CAMK4/TCF7/ITK/DOCK2/IRF4/HLA-DOA/THEMIS/MYB/CCR6/CARD11/IKZF1/PTK2B/TOX/CCL19/TNFSF8/FUT7/MS4A1/CD3E/CD3D/CD3G/CD27/LAG3/PTPN6/AICDA/NCKAP1L/TESPA1/GPR18/BATF/BCL11B/RASGRP1/CD19/PLCG2/IKZF3/CCR7/CD79B/C17orf99/VAV1/JAK3/IL12RB1/CD79A/POU2F2/AIRE/FOXP3/BTK/SASH3/CD40LG",71
"BP","GO:0050863","regulation of T cell activation","59/449","314/18670",1.32166220642415e-35,1.62344174355767e-32,1.29522896229567e-32,"PLA2G2D/RUNX3/LCK/IL23R/PTPN22/CD2/TNFAIP8L2/PTPRC/LAX1/CR1/ZAP70/CD28/CTLA4/ICOS/PDCD1/FANCD2/CCR2/BTLA/TIGIT/CD86/IL7R/CAMK4/IRF4/RIPOR2/HLA-DOA/MYB/CARD11/DOCK8/CCL19/SIT1/TNFSF8/CD6/CD5/CCDC88B/CD3E/CD27/LAG3/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/RAC2/GRAP2/FOXP3/SASH3/CD40LG",59
"BP","GO:0051249","regulation of lymphocyte activation","69/449","485/18670",1.31526974748816e-33,1.03797841787726e-30,8.28129321182941e-31,"PLA2G2D/RUNX3/LCK/IL23R/PTPN22/CD2/TNFAIP8L2/FCRL3/PTPRC/LAX1/CR1/ZAP70/CD28/CTLA4/ICOS/INPP5D/PDCD1/FANCD2/CCR2/BTLA/TIGIT/CD86/IL7R/CAMK4/IRF4/RIPOR2/LST1/HLA-DOA/MYB/CARD11/TOX/DOCK8/CCL19/SIT1/TNFSF8/CD6/CD5/CCDC88B/CD3E/CD27/LAG3/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CD19/CORO1A/TNFRSF13B/IKZF3/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/SLA2/IGLL5/RAC2/GRAP2/FOXP3/BTK/SASH3/CD40LG",69
"BP","GO:0030217","T cell differentiation","51/449","240/18670",1.40838319929072e-33,1.03797841787726e-30,8.28129321182941e-31,"PIK3CD/PLA2G2D/RUNX3/LCK/IL23R/PTPN22/CD2/SLAMF6/PTPRC/CR1/ZAP70/CD28/CTLA4/FANCD2/EOMES/CCR9/CCR2/CD86/RHOH/IL7R/CAMK4/TCF7/ITK/DOCK2/IRF4/HLA-DOA/THEMIS/MYB/CCR6/CARD11/CCL19/TNFSF8/FUT7/CD3E/CD3D/CD3G/CD27/LAG3/NCKAP1L/TESPA1/GPR18/BATF/BCL11B/RASGRP1/CCR7/VAV1/JAK3/IL12RB1/AIRE/FOXP3/SASH3",51
"BP","GO:0007159","leukocyte cell-cell adhesion","58/449","337/18670",7.83199831774395e-33,4.81015230014774e-30,3.83767917569454e-30,"PLA2G2D/RUNX3/LCK/IL23R/PTPN22/TNFAIP8L2/SELL/PTPRC/LAX1/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/TIGIT/CD86/IL7R/ADTRP/RIPOR2/TNF/MYB/CARD11/DOCK8/CCL19/CD6/CD5/CCDC88B/CD3E/CD27/LAG3/PTPN6/CLECL1/KLRC4-KLRK1/ITGB7/NCKAP1L/TESPA1/SELPLG/TNFSF11/RASGRP1/CORO1A/ITGAL/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/RAC2/GRAP2/FOXP3/SASH3/CD40LG",58
"BP","GO:1903037","regulation of leukocyte cell-cell adhesion","53/449","304/18670",2.5000189514393e-30,1.31608140515055e-27,1.05000795960451e-27,"PLA2G2D/RUNX3/LCK/IL23R/PTPN22/TNFAIP8L2/PTPRC/LAX1/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/TIGIT/CD86/IL7R/ADTRP/RIPOR2/TNF/MYB/CARD11/DOCK8/CCL19/CD6/CD5/CCDC88B/CD3E/CD27/LAG3/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/GRAP2/FOXP3/SASH3/CD40LG",53
"BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","45/449","218/18670",3.93620163868034e-29,1.81311287981713e-26,1.44655410221502e-26,"RUNX3/LCK/IL23R/PTPRC/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/CD86/IL7R/TNF/MYB/CARD11/DOCK8/CCL19/CD6/CD5/CCDC88B/CD3E/CD27/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/GRAP2/FOXP3/SASH3/CD40LG",45
"BP","GO:0050870","positive regulation of T cell activation","43/449","202/18670",1.85941313247853e-28,7.61326377020376e-26,6.07408289942987e-26,"RUNX3/LCK/IL23R/PTPRC/ZAP70/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/CD86/IL7R/MYB/CARD11/DOCK8/CCL19/CD6/CD5/CCDC88B/CD3E/CD27/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/GRAP2/FOXP3/SASH3/CD40LG",43
"BP","GO:0022409","positive regulation of cell-cell adhesion","46/449","255/18670",4.45325410938987e-27,1.64102413931017e-24,1.30925670816062e-24,"RUNX3/LCK/IL23R/PTPRC/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/CD86/CXCL13/IL7R/TNF/MYB/CARD11/DOCK8/CCL19/CD6/CD5/CCDC88B/CD3E/CD27/PTPN6/CLECL1/KLRC4-KLRK1/NCKAP1L/TESPA1/TNFSF11/RASGRP1/CORO1A/CCR7/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/SIRPG/GRAP2/FOXP3/SASH3/CD40LG",46
