"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000265206",199.624109595676,5.00035871439515,0.499612870777732,8.00691685177748,1.17619956965257e-15,3.52330581089429e-11,"MIR142"
"ENSG00000229807",10662.1263576949,10.7472588998098,1.27331065789694,7.65505168700062,1.93234507206305e-14,2.89416983168243e-10,"XIST"
"ENSG00000245164",1098.25746054365,4.59289004193628,0.507301810254607,7.08235210147005,1.4172799048555e-12,1.41515398499822e-08,"LINC00861"
"ENSG00000127074",138.096424857264,6.29157540619989,0.790667559898753,6.69254143533787,2.19327615645151e-11,1.54749062986438e-07,"RGS13"
"ENSG00000233355",347.030787415515,5.28421560077971,0.645042387913225,6.64175824884867,3.09963070578745e-11,1.54749062986438e-07,"CHRM3-AS2"
"ENSG00000028277",1286.03974399625,4.10328671550194,0.465661084671476,6.66426037660267,2.6600151377496e-11,1.54749062986438e-07,"POU2F2"
"ENSG00000128218",192.300580034372,5.04281395709486,0.612920160534817,6.59598789109371,4.22433404068193e-11,1.8077132312661e-07,"VPREB3"
"ENSG00000156886",46.9863828398573,5.18436051065368,0.645018061339086,6.48719898163279,8.74468171751756e-11,3.27433676060298e-07,"ITGAD"
"ENSG00000262488",32.9226757569906,5.54102257568361,0.706769298613215,6.42504220909675,1.31832931360696e-10,4.3878393987885e-07,"RP11-876N24.1"
"ENSG00000234883",232.481465439791,3.699870792715,0.429535373009438,6.28556100932733,3.26671841029173e-10,9.78545499802888e-07,"MIR155HG"
"ENSG00000163568",282.12552329524,4.63954490334325,0.584166120792178,6.23032519997517,4.65467929660492e-10,1.161924319415e-06,"AIM2"
"ENSG00000070190",380.497964282351,3.96425160241498,0.475682327497232,6.23157815849745,4.61759512602114e-10,1.161924319415e-06,"DAPP1"
"ENSG00000007312",1152.06614436133,4.2307011655615,0.52015367379807,6.21105132637341,5.26312777165747e-10,1.21274609538461e-06,"CD79B"
"ENSG00000170054",58.1410224243587,8.25272156801068,1.17828320758725,6.15532965360843,7.49214879220976e-10,1.60305226479031e-06,"SERPINA9"
"ENSG00000253522",155.10251091921,4.18981417978383,0.523270374770117,6.09591968814434,1.08810035354208e-09,2.17293640602353e-06,"MIR3142HG"
"ENSG00000170006",410.584544237159,3.05334147900193,0.338391973055715,6.06793790189538,1.29562978653386e-09,2.28297589738952e-06,"TMEM154"
"ENSG00000101057",353.02198834319,4.44224491313377,0.567101010022882,6.06989734155979,1.27992040295977e-09,2.28297589738952e-06,"MYBL2"
"ENSG00000164362",19.4940105169848,6.13851007744214,0.850833816429815,6.03938157865404,1.54706003298702e-09,2.57456573822923e-06,"TERT"
"ENSG00000174123",531.913483721719,5.67249358357633,0.781596545469614,5.97814001438416,2.25699712198583e-09,3.55833414679398e-06,"TLR10"
"ENSG00000186265",236.235170746394,4.46357333281664,0.580750202980779,5.96396405036,2.46190926076807e-09,3.68732459531538e-06,"BTLA"
"ENSG00000009790",1588.58035586047,3.79403902279615,0.469864982022992,5.94647213496627,2.73983149641501e-09,3.73052965795962e-06,"TRAF3IP3"
"ENSG00000166501",1321.56692587682,3.80095191962053,0.470577712473291,5.95215592531809,2.64633065908081e-09,3.73052965795962e-06,"PRKCB"
"ENSG00000118513",106.463206649365,4.09553973363789,0.5299499051476,5.84119310819714,5.1828284138289e-09,6.7500706580976e-06,"MYB"
"ENSG00000173200",1997.05649360684,3.92538880248034,0.501607619259692,5.83202624951718,5.47583018276344e-09,6.83452054686161e-06,"PARP15"
